2026-07-29 17:16:14,688 INFO corporate_actions: 4064 candidate securities (gaps). NOTE: gap selection is high-coverage, not complete — small actions fall below the threshold; run `verify` afterwards.
2026-07-29 17:16:16,110 ERROR yfinance: HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: AAC.WS"}}}
2026-07-29 17:16:16,299 ERROR yfinance: $AAC.WS: possibly delisted; no timezone found
2026-07-29 17:16:17,863 ERROR yfinance: $AACQW: possibly delisted; no timezone found
2026-07-29 17:16:18,677 ERROR yfinance: $AAN: possibly delisted; no timezone found
2026-07-29 17:16:19,384 ERROR yfinance: $AAQC.WS: possibly delisted; no timezone found
2026-07-29 17:16:19,659 ERROR yfinance: $AAU: possibly delisted; no timezone found
2026-07-29 17:16:20,599 ERROR yfinance: $ABMD: possibly delisted; no timezone found
2026-07-29 17:16:21,903 ERROR yfinance: $ACABW: possibly delisted; no timezone found
2026-07-29 17:16:22,209 ERROR yfinance: $ACACW: possibly delisted; no timezone found
2026-07-29 17:16:22,994 ERROR yfinance: $ACAHW: possibly delisted; no timezone found
2026-07-29 17:16:23,340 ERROR yfinance: $ACAMW: possibly delisted; no timezone found
2026-07-29 17:16:23,870 ERROR yfinance: $ACAQ.WS: possibly delisted; no timezone found
2026-07-29 17:16:24,160 ERROR yfinance: $ACAXR: possibly delisted; no timezone found
2026-07-29 17:16:24,769 ERROR yfinance: $ACAXW: possibly delisted; no timezone found
2026-07-29 17:16:25,411 ERROR yfinance: $ACBAW: possibly delisted; no timezone found
2026-07-29 17:16:25,730 ERROR yfinance: $ACCD: possibly delisted; no timezone found
2026-07-29 17:16:26,307 ERROR yfinance: $ACDCW: possibly delisted; no timezone found
2026-07-29 17:16:26,905 ERROR yfinance: $ACDI.WS: possibly delisted; no timezone found
2026-07-29 17:16:27,281 ERROR yfinance: $ACER: possibly delisted; no timezone found
2026-07-29 17:16:28,060 ERROR yfinance: $ACEVW: possibly delisted; no timezone found
2026-07-29 17:16:28,433 ERROR yfinance: $ACHR.WS: possibly delisted; no timezone found
2026-07-29 17:16:28,776 ERROR yfinance: $ACIC.WS: possibly delisted; no timezone found
2026-07-29 17:16:29,070 ERROR yfinance: $ACII.WS: possibly delisted; no timezone found
2026-07-29 17:16:29,363 ERROR yfinance: $ACKIW: possibly delisted; no timezone found
2026-07-29 17:16:30,339 ERROR yfinance: $ACND.WS: possibly delisted; no timezone found
2026-07-29 17:16:31,896 ERROR yfinance: $ACOR: possibly delisted; no timezone found
2026-07-29 17:16:32,474 ERROR yfinance: $ACPR: possibly delisted; no timezone found
2026-07-29 17:16:32,849 ERROR yfinance: $ACQRW: possibly delisted; no timezone found
2026-07-29 17:16:33,161 ERROR yfinance: $ACRO.WS: possibly delisted; no timezone found
2026-07-29 17:16:33,890 ERROR yfinance: $ACRX: possibly delisted; no timezone found
2026-07-29 17:16:34,210 ERROR yfinance: $ACST: possibly delisted; no timezone found
2026-07-29 17:16:34,583 ERROR yfinance: $ACTC: possibly delisted; no timezone found
2026-07-29 17:16:34,932 ERROR yfinance: $ACTCU: possibly delisted; no timezone found
2026-07-29 17:16:35,263 ERROR yfinance: $ACTCW: possibly delisted; no timezone found
2026-07-29 17:16:35,638 ERROR yfinance: $ACTDU: possibly delisted; no timezone found
2026-07-29 17:16:35,973 ERROR yfinance: $ACY: possibly delisted; no timezone found
2026-07-29 17:16:36,307 ERROR yfinance: $ADALW: possibly delisted; no timezone found
2026-07-29 17:16:36,946 ERROR yfinance: $ADERW: possibly delisted; no timezone found
2026-07-29 17:16:37,256 ERROR yfinance: $ADES: possibly delisted; no timezone found
2026-07-29 17:16:37,624 ERROR yfinance: $ADEX.WS: possibly delisted; no timezone found
2026-07-29 17:16:37,923 ERROR yfinance: $ADF.WS: possibly delisted; no timezone found
2026-07-29 17:16:38,180 ERROR yfinance: $ADGI: possibly delisted; no timezone found
2026-07-29 17:16:38,831 ERROR yfinance: $ADILW: possibly delisted; no timezone found
2026-07-29 17:16:39,197 ERROR yfinance: $ADMP: possibly delisted; no timezone found
2026-07-29 17:16:39,532 ERROR yfinance: $ADMS: possibly delisted; no timezone found
2026-07-29 17:16:39,813 ERROR yfinance: $ADN: possibly delisted; no timezone found
2026-07-29 17:16:40,078 ERROR yfinance: ADNWW: Period 'max' is invalid, must be one of: 1d, 5d
