2026-07-29 19:32:45,510 INFO corporate_actions: 6873 candidate securities (gaps). NOTE: gap selection is high-coverage, not complete — small actions fall below the threshold; run `verify` afterwards.
2026-07-29 19:32:48,058 ERROR yfinance: HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: AAC.WS"}}}
2026-07-29 19:32:48,362 ERROR yfinance: $AAC.WS: possibly delisted; no timezone found
2026-07-29 19:32:48,688 ERROR yfinance: AACBR: Period 'max' is invalid, must be one of: 1d, 5d
2026-07-29 19:32:49,963 ERROR yfinance: $AACQW: possibly delisted; no timezone found
2026-07-29 19:32:50,279 ERROR yfinance: $AACT.U: possibly delisted; no timezone found
2026-07-29 19:32:50,563 ERROR yfinance: $AACT.WS: possibly delisted; no timezone found
2026-07-29 19:32:50,894 ERROR yfinance: $AADI: possibly delisted; no timezone found
2026-07-29 19:32:51,436 ERROR yfinance: AAGRW: Period 'max' is invalid, must be one of: 1d, 5d
2026-07-29 19:32:51,765 ERROR yfinance: $AAIC: possibly delisted; no timezone found
2026-07-29 19:32:52,078 ERROR yfinance: $AAM.WS: possibly delisted; no timezone found
2026-07-29 19:32:52,336 ERROR yfinance: $AAMC: possibly delisted; no timezone found
2026-07-29 19:32:53,194 ERROR yfinance: $AAN: possibly delisted; no timezone found
2026-07-29 19:32:55,402 ERROR yfinance: $AAQC.WS: possibly delisted; no timezone found
2026-07-29 19:32:55,727 ERROR yfinance: $AAU: possibly delisted; no timezone found
2026-07-29 19:32:56,856 ERROR yfinance: $ABIO: possibly delisted; no timezone found
2026-07-29 19:32:57,181 ERROR yfinance: ABLLW: Period 'max' is invalid, must be one of: 1d, 5d
2026-07-29 19:32:58,062 ERROR yfinance: $ABMD: possibly delisted; no timezone found
2026-07-29 19:32:59,067 ERROR yfinance: $ABP: possibly delisted; no timezone found
2026-07-29 19:32:59,550 ERROR yfinance: ABPWW: Period 'max' is invalid, must be one of: 1d, 5d
2026-07-29 19:33:02,166 ERROR yfinance: $ACAB: possibly delisted; no timezone found
2026-07-29 19:33:02,494 ERROR yfinance: $ACABU: possibly delisted; no timezone found
2026-07-29 19:33:02,845 ERROR yfinance: $ACABW: possibly delisted; no timezone found
2026-07-29 19:33:03,187 ERROR yfinance: $ACACW: possibly delisted; no timezone found
2026-07-29 19:33:05,779 ERROR yfinance: $ACAHW: possibly delisted; no timezone found
2026-07-29 19:33:06,122 ERROR yfinance: $ACAMW: possibly delisted; no timezone found
2026-07-29 19:33:06,427 ERROR yfinance: $ACAQ: possibly delisted; no timezone found
2026-07-29 19:33:06,700 ERROR yfinance: $ACAQ.U: possibly delisted; no timezone found
2026-07-29 19:33:07,029 ERROR yfinance: $ACAQ.WS: possibly delisted; no timezone found
2026-07-29 19:33:07,355 ERROR yfinance: $ACAX: possibly delisted; no timezone found
2026-07-29 19:33:07,627 ERROR yfinance: $ACAXR: possibly delisted; no timezone found
2026-07-29 19:33:07,972 ERROR yfinance: $ACAXU: possibly delisted; no timezone found
2026-07-29 19:33:08,361 ERROR yfinance: $ACAXW: possibly delisted; no timezone found
2026-07-29 19:33:09,166 ERROR yfinance: $ACBAW: possibly delisted; no timezone found
2026-07-29 19:33:09,501 ERROR yfinance: $ACCD: possibly delisted; no timezone found
2026-07-29 19:33:10,087 ERROR yfinance: $ACDCW: possibly delisted; no timezone found
2026-07-29 19:33:10,462 ERROR yfinance: $ACDI.WS: possibly delisted; no timezone found
2026-07-29 19:33:10,807 ERROR yfinance: $ACER: possibly delisted; no timezone found
2026-07-29 19:33:11,494 ERROR yfinance: $ACEVW: possibly delisted; no timezone found
2026-07-29 19:33:11,789 ERROR yfinance: $ACGN: possibly delisted; no timezone found
2026-07-29 19:33:13,093 ERROR yfinance: $ACHR.WS: possibly delisted; no timezone found
2026-07-29 19:33:14,340 ERROR yfinance: $ACIC.WS: possibly delisted; no timezone found
2026-07-29 19:33:15,118 ERROR yfinance: $ACII.WS: possibly delisted; no timezone found
2026-07-29 19:33:15,799 ERROR yfinance: $ACKIW: possibly delisted; no timezone found
2026-07-29 19:33:16,506 ERROR yfinance: $ACND.WS: possibly delisted; no timezone found
2026-07-29 19:33:17,995 ERROR yfinance: $ACOR: possibly delisted; no timezone found
2026-07-29 19:33:18,298 ERROR yfinance: $ACPR: possibly delisted; no timezone found
2026-07-29 19:33:18,867 ERROR yfinance: $ACQRW: possibly delisted; no timezone found
2026-07-29 19:33:19,176 ERROR yfinance: $ACRO.WS: possibly delisted; no timezone found
2026-07-29 19:33:20,139 ERROR yfinance: $ACRX: possibly delisted; no timezone found
2026-07-29 19:33:20,499 ERROR yfinance: $ACST: possibly delisted; no timezone found
2026-07-29 19:33:20,835 ERROR yfinance: $ACTC: possibly delisted; no timezone found
2026-07-29 19:33:21,164 ERROR yfinance: $ACTCU: possibly delisted; no timezone found
2026-07-29 19:33:21,489 ERROR yfinance: $ACTCW: possibly delisted; no timezone found
2026-07-29 19:33:21,800 ERROR yfinance: $ACTDU: possibly delisted; no timezone found
2026-07-29 19:33:22,439 ERROR yfinance: $ACY: possibly delisted; no timezone found
2026-07-29 19:33:23,523 ERROR yfinance: $ADALW: possibly delisted; no timezone found
2026-07-29 19:33:23,824 ERROR yfinance: $ADAP: possibly delisted; no timezone found
2026-07-29 19:33:24,325 ERROR yfinance: ADD: Period 'max' is invalid, must be one of: 1d, 5d
2026-07-29 19:33:24,629 ERROR yfinance: $ADERW: possibly delisted; no timezone found
2026-07-29 19:33:24,984 ERROR yfinance: $ADES: possibly delisted; no timezone found
2026-07-29 19:33:25,413 ERROR yfinance: $ADEX: possibly delisted; no timezone found
2026-07-29 19:33:25,825 ERROR yfinance: $ADEX.U: possibly delisted; no timezone found
2026-07-29 19:33:26,186 ERROR yfinance: $ADEX.WS: possibly delisted; no timezone found
2026-07-29 19:33:26,597 ERROR yfinance: $ADF.WS: possibly delisted; no timezone found
2026-07-29 19:33:26,969 ERROR yfinance: $ADGI: possibly delisted; no timezone found
2026-07-29 19:33:27,808 ERROR yfinance: $ADILW: possibly delisted; no timezone found
2026-07-29 19:33:28,180 ERROR yfinance: $ADMP: possibly delisted; no timezone found
2026-07-29 19:33:28,563 ERROR yfinance: $ADMS: possibly delisted; no timezone found
2026-07-29 19:33:28,931 ERROR yfinance: $ADN: possibly delisted; no timezone found
2026-07-29 19:33:29,228 ERROR yfinance: ADNWW: Period 'max' is invalid, must be one of: 1d, 5d
2026-07-29 19:33:29,792 ERROR yfinance: $ADOC: possibly delisted; no timezone found
2026-07-29 19:33:30,143 ERROR yfinance: $ADOCR: possibly delisted; no timezone found
2026-07-29 19:33:30,627 ERROR yfinance: $ADOCW: possibly delisted; no timezone found
2026-07-29 19:33:31,423 ERROR yfinance: $ADRA.WS: possibly delisted; no timezone found
2026-07-29 19:33:31,822 ERROR yfinance: $ADRT: possibly delisted; no timezone found
2026-07-29 19:33:32,137 ERROR yfinance: $ADRT.U: possibly delisted; no timezone found
2026-07-29 19:33:32,536 ERROR yfinance: $ADRT.WS: possibly delisted; no timezone found
2026-07-29 19:33:33,249 ERROR yfinance: $ADTH: possibly delisted; no timezone found
2026-07-29 19:33:33,488 ERROR yfinance: ADTHW: Period 'max' is invalid, must be one of: 1d, 5d
2026-07-29 19:33:35,635 ERROR yfinance: $ADVM: possibly delisted; no timezone found
2026-07-29 19:33:35,959 ERROR yfinance: ADVWW: Period 'max' is invalid, must be one of: 1d, 5d
2026-07-29 19:33:36,813 ERROR yfinance: $ADXS: possibly delisted; no timezone found
2026-07-29 19:33:37,165 ERROR yfinance: $AE: possibly delisted; no timezone found
2026-07-29 19:33:37,488 ERROR yfinance: $AEACW: possibly delisted; no timezone found
2026-07-29 19:33:37,737 ERROR yfinance: AEAEW: Period 'max' is invalid, must be one of: 1d, 5d
2026-07-29 19:33:38,047 ERROR yfinance: $AEHAW: possibly delisted; no timezone found
2026-07-29 19:33:40,664 ERROR yfinance: $AENZ: possibly delisted; no timezone found
2026-07-29 19:33:41,927 ERROR yfinance: $AEON.WS: possibly delisted; no timezone found
2026-07-29 19:33:42,252 ERROR yfinance: $AERC: possibly delisted; no timezone found
2026-07-29 19:33:42,563 ERROR yfinance: $AERI: possibly delisted; no timezone found
2026-07-29 19:33:43,510 ERROR yfinance: $AESE: possibly delisted; no timezone found
2026-07-29 19:33:44,201 ERROR yfinance: $AEVA.WS: possibly delisted; no timezone found
2026-07-29 19:33:44,893 ERROR yfinance: $AEY: possibly delisted; no timezone found
2026-07-29 19:33:45,574 ERROR yfinance: $AEZS: possibly delisted; no timezone found
2026-07-29 19:33:45,916 ERROR yfinance: $AFACW: possibly delisted; no timezone found
2026-07-29 19:33:46,247 ERROR yfinance: $AFAQW: possibly delisted; no timezone found
2026-07-29 19:33:46,591 ERROR yfinance: $AFARW: possibly delisted; no timezone found
2026-07-29 19:33:47,426 ERROR yfinance: $AFI: possibly delisted; no timezone found
2026-07-29 19:33:48,541 ERROR yfinance: AFJKR: Period 'max' is invalid, must be one of: 1d, 5d
2026-07-29 19:33:49,222 ERROR yfinance: $AFMD: possibly delisted; no timezone found
2026-07-29 19:33:50,162 ERROR yfinance: $AFTR.WS: possibly delisted; no timezone found
2026-07-29 19:33:50,507 ERROR yfinance: $AGAC.WS: possibly delisted; no timezone found
2026-07-29 19:33:50,864 ERROR yfinance: $AGAE: possibly delisted; no timezone found
2026-07-29 19:33:51,196 ERROR yfinance: $AGBA: possibly delisted; no timezone found
2026-07-29 19:33:51,484 ERROR yfinance: $AGBAR: possibly delisted; no timezone found
2026-07-29 19:33:51,799 ERROR yfinance: $AGBAW: possibly delisted; no timezone found
2026-07-29 19:33:52,142 ERROR yfinance: $AGCWW: possibly delisted; no timezone found
2026-07-29 19:33:52,587 ERROR yfinance: $AGE: possibly delisted; no timezone found
2026-07-29 19:33:53,586 ERROR yfinance: $AGFS: possibly delisted; no timezone found
2026-07-29 19:33:53,936 ERROR yfinance: $AGFY: possibly delisted; no timezone found
2026-07-29 19:33:54,258 ERROR yfinance: $AGGRW: possibly delisted; no timezone found
2026-07-29 19:33:54,573 ERROR yfinance: $AGH: possibly delisted; no timezone found
2026-07-29 19:33:54,923 ERROR yfinance: $AGIL: possibly delisted; no timezone found
2026-07-29 19:33:55,141 ERROR yfinance: $AGILW: possibly delisted; no price data found  (1d 1927-08-23 -> 2026-07-29)
2026-07-29 19:33:56,202 ERROR yfinance: $AGLE: possibly delisted; no timezone found
2026-07-29 19:33:56,960 ERROR yfinance: $AGRI: possibly delisted; no timezone found
2026-07-29 19:33:57,171 ERROR yfinance: AGRIW: Period 'max' is invalid, must be one of: 1d, 5d
2026-07-29 19:33:57,484 ERROR yfinance: $AGRX: possibly delisted; no timezone found
2026-07-29 19:33:57,837 ERROR yfinance: $AGTC: possibly delisted; no timezone found
2026-07-29 19:33:58,188 ERROR yfinance: $AGTI: possibly delisted; no timezone found
2026-07-29 19:33:58,997 ERROR yfinance: $AHACW: possibly delisted; no timezone found
2026-07-29 19:33:59,365 ERROR yfinance: $AHC: possibly delisted; no timezone found
2026-07-29 19:34:00,402 ERROR yfinance: $AHI: possibly delisted; no timezone found
2026-07-29 19:34:00,775 ERROR yfinance: $AHPAW: possibly delisted; no timezone found
2026-07-29 19:34:01,096 ERROR yfinance: $AHPI: possibly delisted; no timezone found
2026-07-29 19:34:01,377 ERROR yfinance: $AHRNW: possibly delisted; no timezone found
2026-07-29 19:34:02,802 ERROR yfinance: $AHTPD: possibly delisted; no timezone found
2026-07-29 19:34:03,262 ERROR yfinance: $AHTPF: possibly delisted; no timezone found
2026-07-29 19:34:03,600 ERROR yfinance: $AHTPG: possibly delisted; no timezone found
2026-07-29 19:34:03,946 ERROR yfinance: $AHTPH: possibly delisted; no timezone found
2026-07-29 19:34:04,241 ERROR yfinance: $AHTPI: possibly delisted; no timezone found
2026-07-29 19:34:04,984 ERROR yfinance: $AIBBR: possibly delisted; no timezone found
2026-07-29 19:34:05,791 ERROR yfinance: $AIFER: possibly delisted; no timezone found
2026-07-29 19:34:07,034 ERROR yfinance: $AIG.WS: possibly delisted; no timezone found
2026-07-29 19:34:07,351 ERROR yfinance: $AIH: possibly delisted; no timezone found
2026-07-29 19:34:08,482 ERROR yfinance: $AIKI: possibly delisted; no timezone found
2026-07-29 19:34:08,783 ERROR yfinance: $AILE: possibly delisted; no timezone found
2026-07-29 19:34:09,072 ERROR yfinance: $AILEW: possibly delisted; no timezone found
