2026-07-29 16:33:32,946 INFO load_daily_bars: 1256 file(s) to consider under data/market/minute_bars_5y
2026-07-29 16:33:32,970 INFO load_daily_bars: skip 2020-10-02.csv.gz — already derived (source_id=7, 8672 bars)
2026-07-29 16:33:32,980 INFO load_daily_bars: skip 2020-10-05.csv.gz — already derived (source_id=8, 8729 bars)
2026-07-29 16:33:32,991 INFO load_daily_bars: skip 2020-10-06.csv.gz — already derived (source_id=9, 8761 bars)
2026-07-29 16:33:33,002 INFO load_daily_bars: skip 2020-10-07.csv.gz — already derived (source_id=10, 8688 bars)
2026-07-29 16:33:33,013 INFO load_daily_bars: skip 2020-10-08.csv.gz — already derived (source_id=11, 8727 bars)
2026-07-29 16:33:33,023 INFO load_daily_bars: skip 2020-10-09.csv.gz — already derived (source_id=12, 8717 bars)
2026-07-29 16:34:51,252 INFO load_daily_bars: [25/1256] 2020-11-05.csv.gz — 8,817 bars in 4.2s
2026-07-29 16:36:38,297 INFO load_daily_bars: [50/1256] 2020-12-11.csv.gz — 9,091 bars in 4.4s
2026-07-29 16:38:29,259 INFO load_daily_bars: [75/1256] 2021-01-20.csv.gz — 9,316 bars in 4.6s
2026-07-29 16:40:30,612 INFO load_daily_bars: [100/1256] 2021-02-25.csv.gz — 9,673 bars in 5.2s
2026-07-29 16:42:31,127 INFO load_daily_bars: [125/1256] 2021-04-01.csv.gz — 9,977 bars in 4.6s
2026-07-29 16:44:24,265 INFO load_daily_bars: [150/1256] 2021-05-07.csv.gz — 10,111 bars in 4.6s
2026-07-29 16:46:19,973 INFO load_daily_bars: [175/1256] 2021-06-14.csv.gz — 10,291 bars in 4.6s
2026-07-29 16:48:17,094 INFO load_daily_bars: [200/1256] 2021-07-20.csv.gz — 10,335 bars in 4.8s
2026-07-29 16:50:11,918 INFO load_daily_bars: [225/1256] 2021-08-24.csv.gz — 10,455 bars in 4.7s
2026-07-29 16:52:09,673 INFO load_daily_bars: [250/1256] 2021-09-29.csv.gz — 10,415 bars in 4.7s
2026-07-29 16:54:08,220 INFO load_daily_bars: [275/1256] 2021-11-03.csv.gz — 10,746 bars in 4.8s
2026-07-29 16:56:09,882 INFO load_daily_bars: [300/1256] 2021-12-09.csv.gz — 10,798 bars in 4.7s
2026-07-29 16:58:09,851 INFO load_daily_bars: [325/1256] 2022-01-14.csv.gz — 10,807 bars in 4.8s
2026-07-29 17:00:12,637 INFO load_daily_bars: [350/1256] 2022-02-22.csv.gz — 10,990 bars in 5.0s
2026-07-29 17:02:15,823 INFO load_daily_bars: [375/1256] 2022-03-29.csv.gz — 11,122 bars in 4.9s
2026-07-29 17:04:14,810 INFO load_daily_bars: [400/1256] 2022-05-04.csv.gz — 10,988 bars in 4.9s
2026-07-29 17:06:16,983 INFO load_daily_bars: [425/1256] 2022-06-09.csv.gz — 10,782 bars in 4.6s
2026-07-29 17:08:20,290 INFO load_daily_bars: [450/1256] 2022-07-18.csv.gz — 10,735 bars in 4.8s
2026-07-29 17:10:19,813 INFO load_daily_bars: [475/1256] 2022-08-22.csv.gz — 10,648 bars in 4.7s
2026-07-29 17:12:18,866 INFO load_daily_bars: [500/1256] 2022-09-27.csv.gz — 11,026 bars in 4.9s
2026-07-29 17:14:16,361 INFO load_daily_bars: [525/1256] 2022-11-01.csv.gz — 10,842 bars in 4.9s
